id;name;person_name;phone;address;balance;status;picture;total_order_num;point;open_time;area_id
1;models maroon hack;Refined Cambridgeshire;738.206.7970 x9658;Investment Account Seamless Soft;4329;true;Cross-group Implemented web-enabled;73548;78107;2020-09-14T14:31:25;99712
2;invoice;Incredible Steel Keyboard;1-102-444-4086 x6344;markets Frozen;47406;true;Director Fantastic Soft Gloves;18658;23116;2020-09-14T15:05:04;43180
3;Movies;Bedfordshire;(341) 678-7809 x454;24/365;28724;false;payment Plastic Rustic Granite Shirt;80539;39620;2020-09-15T02:19:48;73367
4;users programming;payment;(671) 086-7217 x41268;Licensed PCI e-commerce;34459;false;Frozen visualize Awesome Plastic Fish;63221;13953;2020-09-14T11:48:11;57003
5;Representative Technician;Human plug-and-play;277.011.2186 x13747;web-readiness;98918;false;Auto Loan Account;48785;58032;2020-09-14T04:08:41;15603
6;panel Florida;Plastic;(775) 818-5696 x598;pink quantifying Pre-emptive;84887;false;Grocery Berkshire;3207;49368;2020-09-14T15:25:45;48297
7;Electronics;deposit;(380) 658-9755 x720;Creative Shoes open-source;11089;true;Crest exploit Strategist;17225;76448;2020-09-14T16:43:13;4000
8;North Carolina;Underpass;(802) 149-0329;dedicated;77279;false;New York;96250;10513;2020-09-14T17:20:55;88335
9;Supervisor Representative Gorgeous;Roads process improvement;633-978-0543 x04441;Pants Chicken User-centric;44548;true;turquoise;82896;45491;2020-09-15T00:47:24;5214
10;payment Human program;deposit Rest Toys;325-661-5453 x102;invoice AI;50546;false;Borders;42680;22821;2020-09-14T22:30:21;73937
